flight no,origin,origin airport
OJ256,"6.498, -58.253",GEO
WEW282,"59.334, -107.181",ZFD
EP3704,"35.689,51.313",THR
PT294,"60.194,11.1",OSL
H63190,"59.755, -161.845",KWN
A1310,"-7.926,112.714",MLG
C271,"14.739,-17.49",DKR
5C9916,"9.85, -85.366",PBP
PC2193,"38.292,27.157",ADB
FZ981,"25.255,55.364",DXB
PX73,"6.985,158.209",PNI
SJ182,"-6.126,106.656",CGK
YT691,"27.696,85.359",KTM
JT610,"-6.126,106.656",CGK
6W703,"55.408, 37.906",DME
IL267,"-2.577,140.516",DJJ
Z92100,"43.352,77.04",ALA
PTK251,"53.166,158.453",PKC
ET302,"8.977,38.8",ADD
SU1492,"32.01,-81.146",SVO
LM2933,"-17.645,-63.135",VVI
SMA409,"27.696,85.359",KTM
7K9268,"27.977, 34.394",SSH
BS211,"23.843,90.398",DAC
HZ51,"52.267,104.395",IKT
GE235,"25.069,121.552",TSA
PK8303,"31.521,74.403",LHE
PS752,"35.416, 51.152",IKA
LP2213,"-12.022,-77.114",LIM
TB193,"28.2,83.981",PKR
TB197,"28.2,83.981",PKR
AN21,"21.452,91.964",CXB
UKL4050,"42.232,-8.627",VGO
PK660,"35.88639, 71.80056",CJL
5Y3591,"25.793,-80.291",MIA
CU972,"22.989,-82.409",HAV
TK6491,"22.309,113.914",HKG
EK521,"8.482,76.918",TRV
4U9525,"41.297,2.078",BCN
WN1380,"40.777,-73.872",LGA
MRM3032,"43.337, 21.853",INI
2Q1260,"38.174,-85.736",SDF
IX1344,"25.255,55.364",DXB
MU5735,"24.992,102.743",KMG
MS804,"49.013,2.55",CDG
6C157,"6.184,-67.493",PCR
PW494,"-6.878,39.203",DAR
HKS241,"60.293,5.218",BGO
D3159,"-13.254,-64.063",MGQ
