date	Airline	airline code	flight no	crash site latitude	crash site longitude	ICAO origination	IATA origination	origination	ICAO destination	IATA destination	destination	ac type	route	route codes	total aboard	total fatalities	ground registration
2015-02-04	Transasia	GE	235	25.063333	121.617778	RCSS	TSA	Taipei Songshan Airport,Songshan,Taipei, Taiwan	RCBS	KHN	Kinmen Airport,Kinmen, Taiwan	ATR 72-600	Taipei - Kinmen	TSA-KHN	58	43	B-22816
2015-03-24	Germanwings	4U	9525	44.28	6.038889	LEBL	BCN	Barcelona El Prat Airport, Barcelona, Spain	EDDL	DUS	DÃ¼sseldorf Airport, DÃ¼sseldorf, Germany	Airbus A320-211	Barcelona, Spain - Dusseldorf, Germany	BCN-DUS	150	150	D-AIPX
2015-06-30	Sumatra Indonesian Air Force Civilian Transport	A	1310	3.52578	98.630556	WARA	MLG	Malang Abdul Salah Airport, Jakarta, Indonesia	WIDN	TNJ	Raja Haji Fisabilillah Airport,Tanjung Pinang, Indonesia	C-130B	Malang - Tanjung Pinang, Indonesia	MLG-TNJ	122	139	A-1310
2015-08-16	Trigana Air Service	IL	267	-4.824444	140.498056	WAJJ	DJJ	Sentani Airport,Jayapura, Indonesia	WAJO	OKL	Oksibil Airport,Oksibil, Indonesia	ATR 42-300	Jayapura- Oksibil	DJJ-OKL	54	54	PK-YRN
2015-09-05	Senegalair	HC	71	13.883333	-12.8	GOOY	DKR	LÃ©opold SÃ©dar Senghor International Airport,Dakar, Senegal	FGSL	SSG	Malabo International Airport,Malabo, Equatorial Guinea	Hawker Siddeley HS-125	Ouagadougou - Dakar	DKR-SSG	7	7	6V-AIM
2015-10-31	Metrojet	7K	9268	30.169167	34.172778	HESH	SSH	Sharm El Sheikh, Sinai Peninsula, Egypt	ULLI	LED	Pulkovo Airport, Saint Petersburg, Russia	Airbus A321-231	Sharem el Sheikh - St. Petersburg	SSH-LED	224	224	EI-ETJ
2016-01-08	West Air Sweden	PT	294	67.716667	16.9	ENGM	OSL	Oslo Airport, Gardermoen, Oslo, Norway	ENTC	TOS	TromsÃ¸ Airport, TromsÃ¸, Norway	Canadair CRJ-200	Oslo - TromsÃ¸	OSL-TOS	2	2	SE-DUX
2016-02-02	Daallo Airlines	D9	159	2.039167	45.341944	KMGQ	MGQ	Mogadishu International Airport (MGQ/HCMM), Somalia	HDAM	AII	Djibouti Ambouli International Airport, Djibouti	Airbus A321-111	Mogadishu - Djibouti	MGQ-AII	72	1	SX-BHS
2016-02-24	Tara Air	TB	193	28.9	83.1	VNPK	PKR	Pokhara Airport,Pokhara, Nepal	VNJS	JMO	Jomsom Airport,Jomsom, Nepal	de Havilland DHC-6 Twin Otter 400	Pokhara - Jomsom	PKR-JMO	23	23	9N-AHH
2016-03-09	True Aviation Ltd.	AN	21	21.451944	91.963889	VGCB	CXB	Cox's Bazar Airport, Bangladesh	VOPB	IXZ	Veer Savarkar International Iarport, Port Blair,Andaman Islands, India	Antonov An-26	Cox's Bazar - Jessore	CXB-IXZ	4	3	S2-AGZ
2016-03-19	Flydubai	FZ	981	47.265	39.828833	OMDB	DXB	Dubai International Airport,Dubai, United Arab Emirates	URRR	ROV	Rostov-on-Don Airport, Rostov-on-Don, Russia	Boeing 737-8KN (WL)	Dubai - Rostov	DXB-ROV	62	62	A6-FDN
2016-04-29	CHC Helikopter Service	HKS	241	60.452222	4.096944	ENBR	BGO	Flesland Airport,Bergen, Norway	ENBR	BGO	Flesland Airport,Bergen, Norway	Eurocopter EC225LP Super Puma M2+	Gullfflex B - Bergen	BGO-BGO	13	13	LN-OJF
2016-05-19	Egyptair	MS	804	34.1325	4.763611	LFPG	CDG	Charles de Gaulle Airport, Paris, France	HECA	CAI	Cairo International Airport, Cairo, Egypt	Airbus A320-232	Paris - Cairo	CDG-CAI	66	66	SU-GCC
2016-08-05	Emirates	EK	521	55.379444	25.2475	VOTV	TRV	Trivandrum International Airport, Thiruvananthapuram, India	OMDB	DXB	Dubai International Airport,Dubai,United Arab Emirates	Boeing 777-31H	Thiruvanthapuram, India - Dubai, UAE	TRV-DXB	300	0	A6-EMW
2016-08-31	Hageland Aviation	H6	3190	61.785556	-161.334167	PAQH	KWN	Quinhagak Airport, Quinhagak, Alaska	PATG	TOG	Togiak Airport, Togiak, Alaska	Cessna 208 Grand Caravan	Russian Mission- Marshall	KWN-TOG	5	5	N752RV
2016-11-28	LaMia Bolivia	LM	2933	5.978611	-75.418333	SLVR	VVI	Viru Viru International Airport,Santa Cruz de la Sierra, Bolivia	SKGR	MDE	JosÃ© MarÃ­a CÃ³rdova International Airport,Rionegro, Colombia	Avro RJ-85	Santa Cruz, Bolivia - Medellin,Colombia	VVI-MDE	77	71	CP-2933
2016-12-07	Pakistan International Airlines	PK	660	24.911667	67.187778	OPCH	CJL	Chitral Airport, Chitral, Pakistan	OPRN	ISB	Benazir Bhutto International Airport, Islamabad, Pakistan	ATR-42-500	Chitral - Islamabad	CJL-ISB	48	48	AP-BHO
2016-12-20	Aerosucre Colombia	G0	157	6.187333	-67.577778	SKPC	PCR	GermÃ¡n Olano Airport,Puerto CarreÃ±o, Colombia	SKBO	BOG	El Dorado International Airport, BogotÃ¡, Colombia	Boeing 727-2JOF	Puerto Carreno - Bogota	PCR-BOG	6	5	HK-4544
2017-01-16	Turkish Airlines	TK	6491	43.057222	74.437222	VHHH	HKG	Hong Kong, China	UAFM	FRU	Manas International Airport, Bishkek	Boeing 747-412F	Hong Kong - Bishkek - Istanbul	HKG-FRU	4	4	TC-MCL
2017-05-05	Air Cargo Carriers	2Q	1260	38.375833	-81.593056	KSDF	SDF	Louisvile International Airport, Louisville, Kentucky	ICAO	CRW	Charleston Yeager International Airport, Charleston, West Virginia	Shorts 300-200	Louisville - Charleston	SDF-CRW	2	2	N334AC
2017-05-27	Summit Air	SMA	409	27.68526	86.72646	VNKT	KTM	Tribhuvan International Airport, Kathmandu, Nepal	VNLK	LUA	Tenzing Hillary Airport,Lukla, Nepal	Let L-410UVP-E20	Kathmandu - Lukla	KTM-LUA	3	2	9N-AKY
2017-12-13	West Wind Aviation	WEW	282	59.3368	107.2019	CZFD	ZFD	Fond-du-Lac Airport, Fond-du-Lac, Saskatchewan, Canada	CYSF	YSK	Stony Rapids Airport, Stony Rapids, Saskatchewan, Canada	ATR42-320	Fond-du-Lac - Stony Rapids	ZFD-YSK	25	1	C-GWEA
2017-12-31	Nature Air	5C	9916	9.901425	85.303615	MRIA	PBP	Punta Islita Airport, Punta Islita, Costa Rica	MROC	SJO	Juan SantamarÃ­a International Airport, San JosÃ©, Costa Rica	Cessna 208B Grand Caravan	Punta Islita - San Jose	PBP-SJO	12	12	TI-BEI
2018-02-11	Saratov Airlines	6W	703	55.299722	38.390278	UUDD	DME	Moscow Domodedovo Airport, Moscow, Russia	UWOR	OSW	Orsk Airport, Orsk, Russia	Antonov AN-148-100	Moscow - Orsk	DME-OSW	71	71	RA-61704
2018-02-18	Iran Aseman Airlines	EP	3704	30.95	51.433333	OIII	THR	Mehrabad International Airport, Tehran, Iran	OISY	YES	Yasuj Airport, Yasuj, Iran	ATR 72-212	Tehran - Yasuj	THR-YES	66	66	EP-ATS
2018-03-12	US-Bangla Airlines	BS	211	27.692581	85.358897	VGHS	DAC	Shahjalal International Airport, Dhaka	VNKT	KTM	Tribhuvan International Airport, Kathmandu	de Havilland Canada DHC-8-402Q Dash 8	Dhaka - Kathmandu	DAC-KTM	71	51	S2-AGU
2018-04-17	Southwest Airlines	WN	1380	39.952778	-75.163611	KLGA	LGA	LaGuardia Airport, New York City, New York, United States	KDAL	DAL	Dallas Love Field Airport, Dallas, Texas	Boeing 737-7H4	New York - Dallas	LGA-DAL	149	1	N722SW
2018-05-18	Cubana (leased from Global Air)	CU	972	22.991389	-82.391111	MUHA	HAV	JosÃ© MartÃ­ International Airport	MUHG	HOG	Frank PaÃ­s Airport, HolguÃ­n, Cuba	Boeing 737-201	Havana- Holguin	HAV-HOG	113	112	XA-UHZ
2018-09-28	Air Niugini	PX	73	7.453486	151.836072	PTPN	PNI	Pohnpei Airport,Palikir, Federation of Mironesia	AYPY	POM	Jackson International Airport, Port Moresby, Papua, New Guinea	Boeing 737-8BK	Pohnpei - Chuuk	PNI-POM	47	1	P2-PXE
2018-10-29	Lion Air	JT	610	-5.770833	107.121111	WIII	CGK	Soekarno Hatta International Airport,Tangerang, Indonesia	WIPK	PGK	Depati Amir Airport,Pangkal Pinang, Indonesia	Boeing 737-MAX 8	Jakarta - Pangkal Pinang	CGK-PGK	189	189	PK-LQP
2018-11-06	Fly Jamaica Airways	OJ	256	6.506972	-58.24575	SYCJ	GEO	Cheddi Jagan International Airport, Guyana	CYYZ	YYZ	Toronto Pearson International Airport, Ontario, Canada	Boeing 757-N23	Georgetown - Toronto	GEO-YYZ	128	1	N524AT
2019-02-23	Atlas Air serving Amazon	5Y	3591	29.763889	-94.714722	KMIA	MIA	Miami International Airport,Miami, Florida, United States	KIAH	IAH	George Bush Intercontinental Airport, Houston, Texas, United States	Boeing 767-375ER	Miami - Houston	MIA-IAH	3	3	N1217A
2019-03-10	Ethiopian Airlines	ET	302	8.75	38.983333	HAAB	ADD	Addis Ababa Bole International Airport, Addis Ababa, Ethiopia	HKJK	NBO	Jomo Kenyatta International Airport, Nairobi, Kenya	Boeing 737 Max 8	Addis Ababa - Nairobi	ADD-NBO	157	157	ET-AVJ
2019-05-05	Aeroflot Russian International Airlines	SU	1492	55.968333	37.401944	UUEE	SVO	Sheremetyevo International Airport, Moscow, Russia	ULMM	MMK	Murmansk Airport, Russia	Sukhoi Superjet-100-95B	Moscow - Murmansk	SVO-MMK	78	41	RA-89098
2019-10-04	Ukraine Air Alliance	UKL	4050	49.8125	23.956111	LEVX	VGO	Vigo-Peinador Airport, Vigo, Spain	LTFM	IST	Istanbul Airport,Istanbul, Turkey	Antonov An-12BK	Vigo - Lviv - Istanbul	VGO-IST	8	5	UR-CAH
2019-12-27	Bek Air	Z9	2100	43.365278	77.071389	UAAA	ALA	Almaty International Airport, Kazakhstan	UACC	NQZ	Nur Sultan Nazarbayev International Airport, Kazakhstan	Fokker 100	Almaty - Nursultan Nazabavev	ALA-NQZ	98	12	UP-F100
2020-01-08	Ukraine International Airlines	PS	752	35.561111	51.103889	OIIE	IKA	Imam Khomeini International Airport, Tehran, Iran	UKBB	KBP	Boryspil International Airport, Kyiv, Ukraine	Boeing 737-8KV WL	Tehran - Kiev	IKA-KBP	176	176	UR-PSR
2020-02-05	Pegasus Airlines	PC	2193	40.898333	29.309167	LTBJ	ADB	Izmir Adnan Menderes Airport, Izmir, Turkey	LTFJ	SAW	Istanbul Sabiha GÃ¶kÃ§en International Airport, Pendik, Istanbul, Turkey	Boeing 737-86J	Izmir - Istanbul	ADB-SAW	177	3	TC-IZK
2020-05-22	Pakistan International Airline	PK	8303	24.911667	67.187778	OPLA	LHE	Ollama Iqbal International Airport, Lahore, Punjab, Pakistan	OPKC	KHI	Karachi Airport, Sindh, Pakistan	Airbus A320-214	Lahore - Karachi	LHE-KHI	99	97	AP-BLD
2020-08-07	Air India Exppress	IX	1344	11.133056	75.970278	OMDB	DXB	Dubai International Airport, United Arab Emirates	VOCL	CCJ	Calicut International Airport, Kerala, India	Boeing 737-8HG	Dubai - Calicut	DXB-CCJ	190	20	VT-AXH
2021-01-09	Sriwijaya Air	SJ	182	-5.963889	106.574444	WIII	CGK	Soekarno Hatta International Airport, Tangerang, Indonesia	WIOO	PNK	Supadio International Airport, Pontianak, West Kalimantan, Indonesia	Boeing 737-524	Jakarta - Pontianak	CGK-PNK	62	62	PK-CLC
2021-07-06	Kamchatka Air Enterprise	PTK	251	59.108056	159.846667	UHPP	PKC	Elizovo Airport, Petropavlovsk-Kamchatsky, Russia	UHPL	NONE	Palana Airport, Palana, Russia	Antonov An 26B-100	Petropavlovsk - Palana	UHPP-UHPL	28	28	RA-26085
2021-09-12	Aeroservice/SiLA	HZ	51	56.25123	107.53474	UUII	IKT	Irkutsk Oblast, Siberia, Russia	UNKL	KJA	Kazachinskoye, Krasnoyarsk Krai, Russia	Let L-410UVP-E20	Irkutsk - Kazachinskoye	IKT-KJA	16	4	RA-67042
2022-03-22	China Eastern Airlines	MU	5735	23.324167	111.111944	ZPPP	KMG	Kunming Changshui International Airport	ZGGG	CAN	Guangzhou Baiyun International Airport	Boeing 737-89P WL	Kunming - Guangzhou	KMG-CAN	132	132	B-1791
2022-05-29	Tara Air	TB	197	28.9598	83.8188	VNPK	PKR	Pokhara Airport,Pokhara, Nepal	VNJS	JMO	Jomsom Airport,Jomsom, Nepal	de Havilland Canada DHC-6 Twin Otter 300	Pokhara - Jomsom	PKR-JMO	22	22	9N-AET
2022-07-16	Meridian	MEM	3032	40.966667	24.2	LYNI	INI	NiÅ¡ Constantine the Great Airport, NiÅ¡, Serbia	VGHS	DAC	Shahjalal International Airport, Dhaka, Bangladesh	Antonov AN-12	Nis- Amman	INI-DAC	8	8	UR-CIC
