date	Airline	flight no	site lat	site long
2015-02-04	Transasia	GE235	25.063333	121.617778
2015-03-24	Germanwings	4U9525	44.28	6.038889
2015-06-30	Sumatra Indonesian Air Force Civilian Transport	A1310	3.52578	98.630556
2015-08-16	Trigana Air Service	IL267	-4.824444	140.498056
2015-09-05	Senegalair	C271	13.883333	-12.8
2015-10-31	Metrojet	7K9268	30.169167	34.172778
2016-01-08	West Air Sweden	PT294	67.716667	16.9
2016-02-02	Daallo Airlines	D3159	2.039167	45.341944
2016-02-24	Tara Air	TB193	28.54	83.62
2016-03-09	True Aviation Ltd.	AN21	21.451944	91.963889
2016-03-19	Flydubai	FZ981	47.265	39.828833
2016-04-29	CHC Helikopter Service	HKS241	60.452222	4.096944
2016-05-19	Egyptair	MS804	34.1325	4.763611
2016-08-05	Emirates	EK521	55.379444	25.2475
2016-08-31	Hageland Aviation	H63190	61.785556	-161.334167
2016-11-28	LaMia Bolivia	LM2933	5.978611	-75.418333
2016-12-07	Pakistan International Airlines	PK660	24.911667	67.187778
2016-12-20	Aerosucre Colombia	6C157	6.187333	-67.577778
2017-01-16	Turkish Airlines	TK6491	43.057222	74.437222
2017-05-05	Air Cargo Carriers	2Q1260	38.375833	-81.593056
2017-05-27	Summit Air	SMA409	27.68526	86.72646
2017-12-13	West Wind Aviation	WEW282	59.3368	107.2019
2017-12-31	Nature Air	5C9916	9.901425	85.303615
2018-02-11	Saratov Airlines	6W703	55.299722	38.390278
2018-02-18	Iran Aseman Airlines	EP3704	30.95	51.433333
2018-03-12	US-Bangla Airlines	BS211	27.692581	85.358897
2018-04-17	Southwest Airlines	WN1380	39.952778	-75.163611
2018-05-18	Cubana (leased from Global Air)	CU972	22.991389	-82.391111
2018-09-28	Air Niugini	PX73	7.453486	151.836072
2018-10-29	Lion Air	JT610	-5.770833	107.121111
2018-11-06	Fly Jamaica Airways	OJ256	6.506972	-58.24575
2019-02-23	Atlas Air serving Amazon	5Y3591	29.763889	-94.714722
2019-03-10	Ethiopian Airlines	ET302	8.75	38.983333
2019-05-05	Aeroflot Russian International Airlines	SU1492	55.968333	37.401944
2019-10-04	Ukraine Air Alliance	UKL4050	49.8125	23.956111
2019-12-27	Bek Air	Z92100	43.365278	77.071389
2020-01-08	Ukraine International Airlines	PS752	35.561111	51.103889
2020-02-05	Pegasus Airlines	PC2193	40.898	29.309
2020-05-22	Pakistan International Airline	PK8303	24.911667	67.187778
2020-08-07	Air India Exppress	IX1344	11.133056	75.970278
2021-01-09	Sriwijaya Air	SJ182	-5.963889	106.574444
2021-07-06	Kamchatka Air Enterprise	PTK251	59.108056	159.846667
2021-09-12	Aeroservice/SiLA	HZ51	56.25123	107.53474
2022-03-22	China Eastern Airlines	MU5735	23.324167	111.111944
2022-05-29	Tara Air	TB197	28.712	83.592
2022-07-16	Meridian	MRM3032	40.966667	24.2
2022-11-06	Precision Air	PW494	-1.335278	31.825833
2022-11-18	LATAM Peru	LP2213	-12.021944	77.114444
2023-01-15	Yeti Airlines	YT691	28.18969	84.014893
