Air_Carrier,Event_Date,Country,Location,Airport_Name,Latitude,Longitude,Weather_Condition,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,City,State,Countries,Country_Fatal,Country_Uninjured,US_States,States_Fatal,States_Uninjured
Costa Spraying Inc,1/1/2010,United States,"Tipton, CA",Visalia Municipal Airport,003648N,1191540W,VMC,0,1,0,0,Tipton, CA,Afghanistan,7,84, AK,48,650
FRATTONE CLIFFORD T,1/1/2010,United States,"Doylestown, PA",Doylestown Airport,401959N,0075720W,VMC,0,0,0,2,Doylestown, PA,Antarctica,0,181, AL,23,75
Ram Air Freight Inc.,1/1/2010,United States,"Concord, NC",Concord Regional,352330N,0804230W,IMC,0,0,0,1,Concord, NC,Antigua and Barbuda,4,0, AR,12,90
"Locair, Inc",1/2/2010,United States,"Somerset, KY",Lake Cumberland Regional,037313N,0843656W,VMC,0,0,0,3,Somerset, KY,Argentina,2,0, AZ,63,819
Michael K. Fuqua,1/3/2010,United States,"Fallbrook, CA",Fallbrook Community Airpark,332115N,0117153W,VMC,0,0,0,1,Fallbrook, CA,Bahamas,26,10, CA,91,3478
"American King Air Services, Inc.",1/4/2010,United States,"Greenbush, ME",Dewitt Field,045735N,0683745W,VMC,1,0,0,0,Greenbush, ME,Belgium,0,2, CO,25,939
ABA Sky Inc,1/4/2010,Palau,"Palau International Airport, Palau",Palau International Airport,007222N,1343240E,VMC,0,0,0,4,Palau International Airport, Palau,Brazil,49,41, CT,17,87
California Department of Fish and Game,1/5/2010,United States,"Auberry, CA",Trimmer Heliport,037847N,1192740W,VMC,4,0,0,0,Auberry, CA,Canada,10,6, DC,0,67
PINNACLE AVIATION SERVICES INC,1/6/2010,United States,"Ramona, CA",Ramona Airport,033221N,1165454W,VMC,0,1,0,0,Ramona, CA,Chile,3,0, DE,4,17
Clint Vanderhoof,1/6/2010,United States,"Metaline Falls, WA",Sullivan Lake State Airport,485027N,0117172W,VMC,0,0,0,4,Metaline Falls, WA,Colombia,29,31, FL,89,2858
"Ameriflight, LLC",1/6/2010,United States,"Kearney, NE",Kearney Regional Airport,404337N,0099024W,IMC,0,0,0,1,Kearney, NE,Dominican Republic,4,0, GA,28,2271
SAADEH MAMDOUH,1/6/2010,United States,"Auburn, AL",Auburn-Opelika Airport,323632N,0085261W,VMC,0,0,0,1,Auburn, AL,Eswatini,3,3, HI,23,702
Danny R. Brignac,1/7/2010,United States,"Palm Springs, CA",Jacqueline Cochran Regional,333736N,0116934W,VMC,0,1,0,0,Palm Springs, CA,France,0,123, ID,15,168
LARSON CARROLL B,1/8/2010,United States,"Sequim, WA",Sequim Valley Airport,048553N,1231113W,VMC,2,0,0,0,Sequim, WA,Germany,0,2, IL,18,2403
Aerotaxis dos mil,1/8/2010,United States,"Eagle, CO",Eagle County Airport,393822N,1065625W,VMC,0,0,0,7,Eagle, CO,Guyana,2,0, IN,14,97
Patrick Zrelak,1/8/2010,United States,"Apple Valley, CA",Apple Valley,343431N,1171110W,VMC,0,0,0,2,Apple Valley, CA,Haiti,3,0, KS,12,85
Samuel D McGowan,1/9/2010,United States,"Chico, CA",Ranchaero,039430N,0121520W,IMC,0,2,0,0,Chico, CA,Honduras,3,0, KY,7,119
OLSON ROBERT B,1/9/2010,United States,"Bayport, NY",Bayport Aerodrome,404531N,0073313W,VMC,0,0,0,2,Bayport, NY,Hungary,0,3, LA,23,392
VAN KAMPEN ANTHONY J,1/10/2010,United States,"New London, WI",Northport Airport,044238N,0088514W,VMC,0,2,0,0,New London, WI,Italy,2,0, MA,13,705
UNITED AIR LINES INC,1/10/2010,United States,"Newark, NJ",Newark,404426N,0741011W,VMC,0,3,0,50,Newark, NJ,Japan,0,2, MD,15,620
